Date,Open,High,Low,Close,Adj Close,Volume
"Mar 23, 2022","2,720.00","2,840.00","2,670.00","2,760.00","2,604.19","110,099,000"
"Mar 16, 2022","2,670.00","2,740.00","2,630.00","2,720.00","2,566.45","79,300,600"
"Mar 9, 2022","2,590.00","2,800.00","2,550.00","2,640.00","2,490.97","107,087,300"
"Mar 2, 2022","2,870.00","2,890.00","2,530.00","2,590.00","2,443.79","119,345,400"
"Feb 23, 2022","2,870.00","2,930.00","2,760.00","2,880.00","2,717.42","127,880,900"
"Feb 16, 2022","2,990.00","3,010.00","2,840.00","2,860.00","2,698.55","77,081,000"
"Feb 9, 2022","3,090.00","3,140.00","2,960.00","2,980.00","2,811.77","49,638,600"
"Feb 2, 2022","3,320.00","3,350.00","3,060.00","3,070.00","2,896.69","53,754,600"
"Jan 26, 2022","2,940.00","3,370.00","2,940.00","3,320.00","3,132.58","100,631,500"
"Jan 19, 2022","2,980.00","3,100.00","2,940.00","2,940.00","2,774.03","28,245,400"
"Jan 12, 2022","2,990.00","3,150.00","2,940.00","2,990.00","2,821.21","29,687,100"
"Jan 5, 2022","3,120.00","3,130.00","2,920.00","2,930.00","2,764.60","63,146,100"
"Dec 29, 2021","3,080.00","3,190.00","3,070.00","3,140.00","2,962.74","30,634,600"
"Dec 22, 2021","3,170.00","3,170.00","3,020.00","3,070.00","2,896.69","22,546,700"
"Dec 15, 2021","3,200.00","3,240.00","3,110.00","3,170.00","2,991.05","52,207,700"
"Dec 8, 2021","3,120.00","3,210.00","3,060.00","3,190.00","3,009.92","65,910,100"
"Dec 1, 2021","3,070.00","3,180.00","3,040.00","3,120.00","2,943.87","123,292,900"
"Nov 24, 2021","2,920.00","3,160.00","2,910.00","3,070.00","2,896.69","168,535,300"
"Nov 17, 2021","2,950.00","3,000.00","2,860.00","2,940.00","2,774.03","69,668,900"
"Nov 10, 2021","3,050.00","3,050.00","2,920.00","2,920.00","2,755.16","75,634,800"
"Nov 3, 2021","2,950.00","3,080.00","2,930.00","3,040.00","2,868.39","76,920,300"
"Oct 27, 2021","3,070.00","3,100.00","2,920.00","2,950.00","2,783.47","105,373,000"
"Oct 20, 2021","3,080.00","3,140.00","3,020.00","3,080.00","2,906.13","134,105,200"
"Oct 13, 2021","3,200.00","3,210.00","3,020.00","3,080.00","2,906.13","125,154,300"
"Oct 6, 2021","2,950.00","3,270.00","2,820.00","3,230.00","3,047.66","229,045,300"
"Sep 29, 2021","2,940.00","3,140.00","2,850.00","2,920.00","2,755.16","136,125,700"
"Sep 22, 2021","3,040.00","3,080.00","2,820.00","2,940.00","2,774.03","118,274,600"
"Sep 15, 2021","2,940.00","3,080.00","2,880.00","3,020.00","2,849.51","140,523,600"
"Sep 8, 2021","2,630.00","3,040.00","2,550.00","2,950.00","2,783.47","186,639,900"
"Sep 1, 2021","2,680.00","2,740.00","2,600.00","2,640.00","2,490.97","41,237,600"
"Aug 25, 2021","2,640.00","2,700.00","2,570.00","2,670.00","2,519.27","55,027,500"
"Aug 18, 2021","2,560.00","2,770.00","2,520.00","2,640.00","2,490.97","147,638,300"
"Aug 11, 2021","2,540.00","2,660.00","2,500.00","2,590.00","2,443.79","59,033,200"
"Aug 4, 2021","2,670.00","2,690.00","2,500.00","2,540.00","2,396.61","102,666,100"
"Jul 28, 2021","2,440.00","2,730.00","2,380.00","2,660.00","2,509.84","174,471,100"
"Jul 21, 2021","2,470.00","2,540.00","2,410.00","2,430.00","2,292.82","99,578,300"
